#Copyrighthttps://www.sports-reference.com/cfb/years/2019-schedule.html#schedule::none
#https://www.sports-reference.com/cfb/years/2019-schedule.html#schedule::none
Date,Winner,Pts,Loser,Pts,
43736,Utah,38,WashingtonState,13,
43736,UtahState,34,ColoradoState,24,
43736,Vanderbilt,24,NorthernIllinois,18,
43736,WakeForest,27,BostonCollege,24,
43736,Washington,28,SouthernCalifornia,14,
43736,WesternKentucky,20,Alabama-Birmingham,13,
43736,WesternMichigan,31,CentralMichigan,15,
43736,Wisconsin,24,Northwestern,15,
43736,Wyoming,53,Nevada-LasVegas,17,
43741,GeorgiaSouthern,20,SouthAlabama,17,
43741,Temple,27,EastCarolina,17,
43742,Cincinnati,27,CentralFlorida,24,
43742,SanJoseState,32,NewMexico,21,
43743,Alabama-Birmingham,35,Rice,20,
43743,Arizona,35,Colorado,30,
43743,BallState,27,NorthernIllinois,20,
43743,Baylor,31,KansasState,12,
43743,BoiseState,38,Nevada-LasVegas,13,
43743,CentralMichigan,42,EasternMichigan,16,
43743,Florida,24,Auburn,13,
43743,FloridaInternational,44,Massachusetts,0,
43743,Georgia,43,Tennessee,14,
43743,GeorgiaState,52,ArkansasState,38,
43743,IowaState,49,TexasChristian,24,
43743,Liberty,20,NewMexicoState,13,
43743,LouisianaState,42,UtahState,6,
43743,Louisville,41,BostonCollege,39,
43743,Maryland,48,Rutgers,7,
43743,Memphis,52,Louisiana-Monroe,33,
43743,Michigan,10,Iowa,3,
43743,MiddleTennesseeState,24,Marshall,13,
43743,Minnesota,40,Illinois,17,
43743,Mississippi,31,Vanderbilt,6,
43743,Missouri,42,Troy,10,
43743,Navy,34,AirForce,25,
43743,Nebraska,13,Northwestern,10,
43743,NorthCarolina,38,GeorgiaTech,22,
43743,NotreDame,52,BowlingGreenState,0,
43743,Ohio,21,Buffalo,20,
43743,OhioState,34,MichiganState,10,
43743,Oklahoma,45,Kansas,20,
43743,Oregon,17,California,7,
43743,OregonState,48,UCLA,31,
43743,PennState,35,Purdue,7,
43743,Pittsburgh,33,Duke,30,
43743,SanDiegoState,24,ColoradoState,10,
43743,SouthFlorida,48,Connecticut,22,
43743,SouthernMethodist,43,Tulsa,37,
43743,Stanford,23,Washington,13,
43743,Texas,42,WestVirginia,31,
43743,TexasTech,45,OklahomaState,35,
43743,Texas-SanAntonio,26,Texas-ElPaso,16,
43743,Toledo,31,WesternMichigan,24,
43743,Tulane,42,Army,33,
43743,VirginiaTech,42,Miami(FL),35,
43743,WesternKentucky,20,OldDominion,3,
43743,Wisconsin,48,KentState,0,
43747,AppalachianState,17,Louisiana,7,
43748,Louisiana-Monroe,24,TexasState,14,
43748,NorthCarolinaState,16,Syracuse,10,
43749,ColoradoState,35,NewMexico,21,
43749,Miami(FL),17,Virginia,9,
43749,Oregon,45,Colorado,3,
43750,AirForce,43,FresnoState,24,
43750,Alabama,47,TexasA&M,28,
43750,Alabama-Birmingham,33,Texas-SanAntonio,14,
43750,ArizonaState,38,WashingtonState,34,
43750,BallState,29,EasternMichigan,23,
43750,Baylor,33,TexasTech,30,
43750,BoiseState,59,Hawaii,37,
43750,BowlingGreenState,20,Toledo,7,
43750,CentralMichigan,42,NewMexicoState,28,
43750,Cincinnati,38,Houston,23,
43750,Clemson,45,FloridaState,14,
43750,Duke,41,GeorgiaTech,23,
43750,FloridaAtlantic,28,MiddleTennesseeState,13,
43750,FloridaInternational,48,Charlotte,23,
43750,GeorgiaState,31,CoastalCarolina,21,
43750,Indiana,35,Rutgers,0,
43750,IowaState,38,WestVirginia,14,
43750,KentState,26,Akron,3,
43750,Kentucky,24,Arkansas,20,
43750,LouisianaState,42,Florida,28,
43750,LouisianaTech,69,Massachusetts,21,
43750,Louisville,62,WakeForest,59,
43750,Marshall,31,OldDominion,17,
43750,Michigan,42,Illinois,25,
43750,Minnesota,34,Nebraska,7,
43750,Missouri,38,Mississippi,27,
43750,Navy,45,Tulsa,17,
43750,Nevada,41,SanJoseState,38,
43750,Nevada-LasVegas,34,Vanderbilt,10,
43750,NorthernIllinois,39,Ohio,36,
43750,NotreDame,30,SouthernCalifornia,27,
43750,Oklahoma,34,Texas,27,
43750,PennState,17,Iowa,12,
43750,Purdue,40,Maryland,14,
43750,SanDiegoState,26,Wyoming,22,
43750,SouthCarolina,20,Georgia,17,
43750,SouthFlorida,27,BrighamYoung,23,
43750,SouthernMississippi,45,NorthTexas,27,
43750,Temple,30,Memphis,28,
43750,Tennessee,20,MississippiState,10,
43750,Tulane,49,Connecticut,7,
43750,Utah,52,OregonState,7,
43750,VirginiaTech,34,RhodeIsland,17,
43750,Washington,51,Arizona,27,
43750,WesternKentucky,17,Army,8,
43750,WesternMichigan,38,Miami(OH),16,
43750,Wisconsin,38,MichiganState,0,
43754,Troy,37,SouthAlabama,13,
43755,Louisiana,37,ArkansasState,20,
43755,UCLA,34,Stanford,16,
43756,FresnoState,56,Nevada-LasVegas,27,
43756,OhioState,52,Northwestern,3,
43756,Pittsburgh,27,Syracuse,20,
43757,AirForce,56,Hawaii,26,
43757,Alabama,35,Tennessee,13,
43757,Alabama-Birmingham,38,OldDominion,14,
43757,AppalachianState,52,Louisiana-Monroe,7,
43757,Auburn,51,Arkansas,10,
43757,BallState,52,Toledo,14,
43757,Baylor,45,OklahomaState,27,
43757,BostonCollege,45,NorthCarolinaState,24,
43757,BrighamYoung,28,BoiseState,25,
43757,Buffalo,21,Akron,0,
43757,CentralFlorida,41,EastCarolina,28,
43757,CentralMichigan,38,BowlingGreenState,20,
43757,Cincinnati,24,Tulsa,13,
43757,Clemson,45,Louisville,10,
43757,EasternMichigan,34,WesternMichigan,27,
43757,Florida,38,SouthCarolina,27,
43757,FloridaInternational,32,Texas-ElPaso,17,
43757,Georgia,21,Kentucky,0,
43757,GeorgiaSouthern,30,CoastalCarolina,27,
43757,GeorgiaState,28,Army,21,
43757,GeorgiaTech,28,Miami(FL),21,
43757,Houston,24,Connecticut,17,
43757,Illinois,24,Wisconsin,23,
43757,Indiana,34,Maryland,28,
43757,Iowa,26,Purdue,20,
43757,IowaState,34,TexasTech,24,
43757,KansasState,24,TexasChristian,17,
43757,Liberty,59,Maine,44,
43757,LouisianaState,36,MississippiState,13,
43757,LouisianaTech,45,SouthernMississippi,30,
43757,Marshall,36,FloridaAtlantic,31,
43757,Memphis,47,Tulane,17,
43757,Miami(OH),27,NorthernIllinois,24,
43757,Minnesota,42,Rutgers,7,
43757,Navy,35,SouthFlorida,3,
43757,NorthTexas,33,MiddleTennesseeState,30,
43757,Ohio,45,KentState,38,
43757,Oklahoma,52,WestVirginia,14,
43757,Oregon,35,Washington,31,
43757,OregonState,21,California,17,
43757,PennState,28,Michigan,21,
43757,SanDiegoState,27,SanJoseState,17,
43757,SouthernCalifornia,41,Arizona,14,
43757,SouthernMethodist,45,Temple,21,
43757,Texas,50,Kansas,48,
43757,TexasA&M,24,Mississippi,17,
43757,Texas-SanAntonio,31,Rice,27,
43757,Utah,21,ArizonaState,3,
43757,UtahState,36,Nevada,10,
43757,Vanderbilt,21,Missouri,14,
43757,Virginia,48,Duke,14,
43757,VirginiaTech,43,NorthCarolina,41,
43757,WakeForest,22,FloridaState,20,
43757,WashingtonState,41,Colorado,10,
43757,WesternKentucky,30,Charlotte,14,
43757,Wyoming,23,NewMexico,10,
43762,SouthernMethodist,34,Houston,31,
43763,SouthernCalifornia,35,Colorado,31,
43764,AirForce,31,UtahState,7,
43764,Alabama,48,Arkansas,7,
43764,AppalachianState,30,SouthAlabama,3,
43764,ArkansasState,38,TexasState,14,
43764,Buffalo,43,CentralMichigan,20,
43764,CentralFlorida,63,Temple,21,
43764,Charlotte,39,NorthTexas,38,
