"#Copyright (c) 1999-2008 James Howell, including lists. Permission is granted to anyone to use the lists for calculating ratings as long as credit is given."
#http://homepages.cae.wisc.edu/~dwilson/rsfc/history/howell/
"Date,Winner,Pts,Loser,Pts"
"Oct 19 2019,(5) Oklahoma,52,West Virginia,14"
"Oct 19 2019,(12) Oregon,35,(25) Washington,31"
"Oct 19 2019,Oregon State,21,California,17"
"Oct 19 2019,(7) Penn State,28,(16) Michigan,21"
"Oct 19 2019,San Diego State,27,San Jose State,17"
"Oct 19 2019,Southern California,41,Arizona,14"
"Oct 19 2019,(19) Southern Methodist,45,Temple,21"
"Oct 19 2019,(15) Texas,50,Kansas,48"
"Oct 19 2019,Texas A&M,24,Mississippi,17"
"Oct 19 2019,Texas-San Antonio,31,Rice,27"
"Oct 19 2019,(13) Utah,21,(17) Arizona State,3"
"Oct 19 2019,Utah State,36,Nevada,10"
"Oct 19 2019,Vanderbilt,21,(22) Missouri,14"
"Oct 19 2019,Virginia,48,Duke,14"
"Oct 19 2019,Virginia Tech,43,North Carolina,41"
"Oct 19 2019,Wake Forest,22,Florida State,20"
"Oct 19 2019,Washington State,41,Colorado,10"
"Oct 19 2019,Western Kentucky,30,Charlotte,14"
"Oct 19 2019,Wyoming,23,New Mexico,10"
"Oct 24 2019,(16) Southern Methodist,34,Houston,31"
"Oct 25 2019,Southern California,35,Colorado,31"
"Oct 26 2019,Air Force,31,Utah State,7"
"Oct 26 2019,(1) Alabama,48,Arkansas,7"
"Oct 26 2019,(21) Appalachian State,30,South Alabama,3"
"Oct 26 2019,Arkansas State,38,Texas State,14"
"Oct 26 2019,Buffalo,43,Central Michigan,20"
"Oct 26 2019,Central Florida,63,Temple,21"
"Oct 26 2019,Charlotte,39,North Texas,38"
"Oct 26 2019,(4) Clemson,59,Boston College,7"
"Oct 26 2019,Colorado State,41,Fresno State,31"
"Oct 26 2019,Connecticut,56,Massachusetts,35"
"Oct 26 2019,Florida Atlantic,41,Old Dominion,3"
"Oct 26 2019,Florida State,35,Syracuse,17"
"Oct 26 2019,Georgia Southern,41,New Mexico State,7"
"Oct 26 2019,Georgia State,52,Troy,33"
"Oct 26 2019,Hawaii,45,New Mexico,31"
"Oct 26 2019,Illinois,24,Purdue,6"
"Oct 26 2019,Indiana,38,Nebraska,31"
"Oct 26 2019,(20) Iowa,20,Northwestern,0"
"Oct 26 2019,Kansas,37,Texas Tech,34"
"Oct 26 2019,Kansas State,48,(5) Oklahoma,41"
"Oct 26 2019,Kentucky,29,Missouri,7"
"Oct 26 2019,(2) Louisiana State,23,(9) Auburn,20"
"Oct 26 2019,Louisiana Tech,42,Texas-El Paso,21"
"Oct 26 2019,Louisville,28,Virginia,21"
"Oct 26 2019,Marshall,26,Western Kentucky,23"
"Oct 26 2019,Memphis,42,Tulsa,41"
"Oct 26 2019,Miami (FL),16,Pittsburgh,12"
"Oct 26 2019,Miami (OH),23,Kent State,16"
"Oct 26 2019,(19) Michigan,45,(8) Notre Dame,14"
"Oct 26 2019,Middle Tennessee State,50,Florida International,17"
"Oct 26 2019,(17) Minnesota,52,Maryland,10"
"Oct 26 2019,Navy,41,Tulane,38"
"Oct 26 2019,North Carolina,20,Duke,17"
"Oct 26 2019,Northern Illinois,49,Akron,0"
"Oct 26 2019,Ohio,34,Ball State,21"
"Oct 26 2019,(3) Ohio State,38,(13) Wisconsin,7"
"Oct 26 2019,Oklahoma State,34,(23) Iowa State,27"
"Oct 26 2019,(11) Oregon,37,Washington State,35"
"Oct 26 2019,(6) Penn State,28,Michigan State,7"
"Oct 26 2019,Rutgers,44,Liberty,34"
"Oct 26 2019,San Diego State,20,Nevada-Las Vegas,17"
"Oct 26 2019,San Jose State,34,Army,29"
"Oct 26 2019,South Florida,45,East Carolina,20"
"Oct 26 2019,Southern Mississippi,20,Rice,6"
"Oct 26 2019,Stanford,41,Arizona,31"
"Oct 26 2019,Tennessee,41,South Carolina,21"
"Oct 26 2019,Texas A&M,49,Mississippi State,30"
"Oct 26 2019,Texas Christian,37,(15) Texas,27"
"Oct 26 2019,Toledo,37,Eastern Michigan,34"
"Oct 26 2019,UCLA,42,(24) Arizona State,32"
"Oct 26 2019,(12) Utah,35,California,0"
"Oct 26 2019,Western Michigan,49,Bowling Green State,10"
"Oct 26 2019,Wyoming,31,Nevada,3"
"Oct 31 2019,(12) Baylor,17,West Virginia,14"
"Oct 31 2019,Georgia Southern,24,(20) Appalachian State,21"
"Nov 1 2019,Navy,56,Connecticut,10"
"Nov 2 2019,Air Force,17,Army,13"
"Nov 2 2019,Arkansas State,48,Louisiana-Monroe,41"
"Nov 2 2019,(11) Auburn,20,Mississippi,14"
"Nov 2 2019,(21) Boise State,52,San Jose State,42"
"Nov 2 2019,Boston College,58,Syracuse,27"
"Nov 2 2019,Bowling Green State,35,Akron,6"
"Nov 2 2019,Brigham Young,42,Utah State,14"
"Nov 2 2019,Buffalo,43,Eastern Michigan,14"
"Nov 2 2019,Central Florida,44,Houston,29"
"Nov 2 2019,Central Michigan,48,Northern Illinois,10"
"Nov 2 2019,Charlotte,34,Middle Tennessee State,20"
"Nov 2 2019,(17) Cincinnati,46,East Carolina,43"
"Nov 2 2019,(4) Clemson,59,Wofford,14"
"Nov 2 2019,Coastal Carolina,36,Troy,35"
"Nov 2 2019,Colorado State,37,Nevada-Las Vegas,17"
"Nov 2 2019,Florida Atlantic,35,Western Kentucky,24"
"Nov 2 2019,Florida International,24,Old Dominion,17"
"Nov 2 2019,Fresno State,41,Hawaii,38"
"Nov 2 2019,(8) Georgia,24,(6) Florida,17"
"Nov 2 2019,Illinois,38,Rutgers,10"
"Nov 2 2019,Indiana,34,Northwestern,3"
"Nov 2 2019,(22) Kansas State,38,Kansas,10"
"Nov 2 2019,Liberty,63,Massachusetts,21"
"Nov 2 2019,Louisiana,31,Texas State,3"
"Nov 2 2019,Marshall,20,Rice,7"
"Nov 2 2019,(24) Memphis,54,(15) Southern Methodist,48"
"Nov 2 2019,Miami (FL),27,Florida State,10"
"Nov 2 2019,(14) Michigan,38,Maryland,7"
"Nov 2 2019,Mississippi State,54,Arkansas,24"
"Nov 2 2019,Nevada,21,New Mexico,10"
"Nov 2 2019,North Texas,52,Texas-El Paso,26"
"Nov 2 2019,(16) Notre Dame,21,Virginia Tech,20"
"Nov 2 2019,Oklahoma State,34,Texas Christian,27"
"Nov 2 2019,(7) Oregon,56,Southern California,24"
"Nov 2 2019,Oregon State,56,Arizona,38"
"Nov 2 2019,Pittsburgh,20,Georgia Tech,10"
"Nov 2 2019,Purdue,31,Nebraska,27"
"Nov 2 2019,South Carolina,24,Vanderbilt,7"
"Nov 2 2019,Tennessee,30,Alabama-Birmingham,7"
"Nov 2 2019,Texas A&M,45,Texas-San Antonio,14"
"Nov 2 2019,Tulane,38,Tulsa,26"
"Nov 2 2019,UCLA,31,Colorado,14"
"Nov 2 2019,(9) Utah,33,Washington,28"
"Nov 2 2019,Virginia,38,North Carolina,31"
"Nov 2 2019,(23) Wake Forest,44,North Carolina State,10"
"Nov 5 2019,Toledo,35,Kent State,33"
"Nov 5 2019,Western Michigan,35,Ball State,31"
"Nov 6 2019,Miami (OH),24,Ohio,21"
"Nov 7 2019,Louisiana,48,Coastal Carolina,7"
"Nov 7 2019,Temple,17,South Florida,7"
"Nov 8 2019,Tulsa,34,Central Florida,31"
"Nov 8 2019,Washington,19,Oregon State,7"
"Nov 9 2019,Appalachian State,20,South Carolina,15"
"Nov 9 2019,Army,63,Massachusetts,7"
"Nov 9 2019,(11) Baylor,29,Texas Christian,23"
"Nov 9 2019,(21) Boise State,20,Wyoming,17"
"Nov 9 2019,Brigham Young,31,Liberty,24"
"Nov 9 2019,California,33,Washington State,20"
"Nov 9 2019,Charlotte,28,Texas-El Paso,21"
"Nov 9 2019,(17) Cincinnati,48,Connecticut,3"
"Nov 9 2019,(4) Clemson,55,North Carolina State,10"
"Nov 9 2019,Colorado,16,Stanford,13"
"Nov 9 2019,(10) Florida,56,Vanderbilt,0"
"Nov 9 2019,Florida Atlantic,37,Florida International,7"
"Nov 9 2019,Florida State,38,Boston College,31"
"Nov 9 2019,(6) Georgia,27,Missouri,0"
"Nov 9 2019,Hawaii,42,San Jose State,40"
"Nov 9 2019,Illinois,37,Michigan State,34"
"Nov 9 2019,(1) Louisiana State,46,(2) Alabama,41"
"Nov 9 2019,Louisiana Tech,52,North Texas,17"
"Nov 9 2019,Louisiana-Monroe,45,Georgia State,31"
"Nov 9 2019,Miami (FL),52,Louisville,27"
"Nov 9 2019,(13) Minnesota,31,(5) Penn State,26"
"Nov 9 2019,Mississippi,41,New Mexico State,3"
"Nov 9 2019,Nevada,17,(24) San Diego State,13"
"Nov 9 2019,(15) Notre Dame,38,Duke,7"
"Nov 9 2019,(3) Ohio State,73,Maryland,14"
"Nov 9 2019,(9) Oklahoma,42,Iowa State,41"
"Nov 9 2019,Purdue,24,Northwestern,22"
"Nov 9 2019,Southern California,31,Arizona State,26"
"Nov 9 2019,(23) Southern Methodist,59,East Carolina,51"
"Nov 9 2019,Southern Mississippi,37,Alabama-Birmingham,2"
"Nov 9 2019,Tennessee,17,Kentucky,13"
"Nov 9 2019,Texas,27,(20) Kansas State,24"
"Nov 9 2019,Texas State,30,South Alabama,28"
"Nov 9 2019,Texas Tech,38,West Virginia,17"
"Nov 9 2019,Texas-San Antonio,24,Old Dominion,23"
"Nov 9 2019,Troy,49,Georgia Southern,28"
"Nov 9 2019,Utah State,37,Fresno State,35"
"Nov 9 2019,Virginia,33,Georgia Tech,28"
"Nov 9 2019,Virginia Tech,36,(22) Wake Forest,17"
"Nov 9 2019,Western Kentucky,45,Arkansas,19"
"Nov 9 2019,(16) Wisconsin,24,(18) Iowa,22"
"Nov 12 2019,Eastern Michigan,42,Akron,14"
"Nov 12 2019,Western Michigan,37,Ohio,34"
"Nov 13 2019,Miami (OH),44,Bowling Green State,3"
"Nov 13 2019,Northern Illinois,31,Toledo,28"
"Nov 14 2019,Kent State,30,Buffalo,27"
"Nov 14 2019,Pittsburgh,34,North Carolina,27"
"Nov 15 2019,San Diego State,17,Fresno State,7"
"Nov 16 2019,Air Force,38,Colorado State,21"
"Nov 16 2019,(4) Alabama,38,Mississippi State,7"
"Nov 16 2019,Alabama-Birmingham,37,Texas-El Paso,10"
"Nov 16 2019,Appalachian State,56,Georgia State,27"
"Nov 16 2019,Arkansas State,28,Coastal Carolina,27"
"Nov 16 2019,Army,47,Virginia Military Institute,6"
"Nov 16 2019,(19) Boise State,42,New Mexico,9"
"Nov 16 2019,Brigham Young,42,Idaho State,10"
"Nov 16 2019,Central Michigan,45,Ball State,44"
"Nov 16 2019,(17) Cincinnati,20,South Florida,17"
"Nov 16 2019,(3) Clemson,52,Wake Forest,3"
"Nov 16 2019,(11) Florida,23,Missouri,6"
"Nov 16 2019,Florida State,49,Alabama State,12"
"Nov 16 2019,(5) Georgia,21,(13) Auburn,14"
"Nov 16 2019,Georgia Southern,51,Louisiana-Monroe,29"
"Nov 16 2019,Hawaii,21,Nevada-Las Vegas,7"
"Nov 16 2019,(23) Iowa,23,(7) Minnesota,19"
"Nov 16 2019,Iowa State,23,(22) Texas,21"
"Nov 16 2019,Kentucky,38,Vanderbilt,14"
"Nov 16 2019,Louisiana,37,South Alabama,27"
"Nov 16 2019,(1) Louisiana State,58,Mississippi,37"
"Nov 16 2019,Louisville,34,North Carolina State,20"
"Nov 16 2019,Marshall,31,Louisiana Tech,10"
"Nov 16 2019,(18) Memphis,45,Houston,27"
"Nov 16 2019,(14) Michigan,44,Michigan State,10"
"Nov 16 2019,New Mexico State,41,Incarnate Word,28"
"Nov 16 2019,Northwestern,45,Massachusetts,6"
"Nov 16 2019,(16) Notre Dame,52,(21) Navy,20"
"Nov 16 2019,(2) Ohio State,56,Rutgers,21"
"Nov 16 2019,(10) Oklahoma,34,(12) Baylor,31"
"Nov 16 2019,(25) Oklahoma State,31,Kansas,13"
"Nov 16 2019,(6) Oregon,34,Arizona,6"
"Nov 16 2019,Oregon State,35,Arizona State,34"
"Nov 16 2019,(9) Penn State,34,(24) Indiana,27"
"Nov 16 2019,Rice,31,Middle Tennessee State,28"
"Nov 16 2019,Southern California,41,California,17"
"Nov 16 2019,Southern Mississippi,36,Texas-San Antonio,17"
"Nov 16 2019,Syracuse,49,Duke,6"
"Nov 16 2019,Temple,29,Tulane,21"
"Nov 16 2019,Texas A&M,30,South Carolina,6"
"Nov 16 2019,Texas Christian,33,Texas Tech,31"
"Nov 16 2019,Troy,63,Texas State,27"
"Nov 16 2019,(8) Utah,49,UCLA,3"
"Nov 16 2019,Utah State,26,Wyoming,21"
"Nov 16 2019,Virginia Tech,45,Georgia Tech,0"
"Nov 16 2019,Washington State,49,Stanford,22"
"Nov 16 2019,West Virginia,24,Kansas State,20"
"Nov 16 2019,(15) Wisconsin,37,Nebraska,21"
"Nov 19 2019,Eastern Michigan,45,Northern Illinois,17"
"Nov 19 2019,Ohio,66,Bowling Green State,24"
"Nov 20 2019,Buffalo,49,Toledo,30"
"Nov 20 2019,Miami (OH),20,Akron,17"
"Nov 21 2019,Georgia Tech,28,North Carolina State,26"
"Nov 22 2019,Wyoming,17,Colorado State,7"
"Nov 23 2019,Air Force,44,New Mexico,22"
"Nov 23 2019,(5) Alabama,66,Western Carolina,3"
"Nov 23 2019,Alabama-Birmingham,20,Louisiana Tech,14"
"Nov 23 2019,(23) Appalachian State,35,Texas State,13"
"Nov 23 2019,Arizona State,31,(6) Oregon,28"
"Nov 23 2019,Arkansas State,38,Georgia Southern,33"
"Nov 23 2019,(16) Auburn,52,Samford,0"
"Nov 23 2019,(13) Baylor,24,Texas,10"
"Nov 23 2019,(20) Boise State,56,Utah State,21"
"Nov 23 2019,Brigham Young,56,Massachusetts,24"
"Nov 23 2019,California,24,Stanford,20"
"Nov 23 2019,Central Florida,34,Tulane,31"
"Nov 23 2019,Charlotte,24,Marshall,13"
"Nov 23 2019,(17) Cincinnati,15,Temple,13"
"Nov 23 2019,Colorado,20,Washington,14"
"Nov 23 2019,East Carolina,31,Connecticut,24"
"Nov 23 2019,Florida Atlantic,40,Texas-San Antonio,26"
"Nov 23 2019,Florida International,30,Miami (FL),24"
"Nov 23 2019,(4) Georgia,19,(24) Texas A&M,13"
"Nov 23 2019,Georgia State,28,South Alabama,15"
"Nov 23 2019,Hawaii,14,San Diego State,11"
"Nov 23 2019,Houston,24,Tulsa,14"
"Nov 23 2019,(19) Iowa,19,Illinois,10"
"Nov 23 2019,Iowa State,41,Kansas,31"
"Nov 23 2019,Kansas State,30,Texas Tech,27"
"Nov 23 2019,Kent State,41,Ball State,38"
"Nov 23 2019,Kentucky,50,Tennessee-Martin,7"
"Nov 23 2019,Louisiana,53,Troy,3"
"Nov 23 2019,(1) Louisiana State,56,Arkansas,20"
"Nov 23 2019,Louisiana-Monroe,45,Coastal Carolina,42"
"Nov 23 2019,Louisville,56,Syracuse,34"
"Nov 23 2019,(18) Memphis,49,South Florida,10"
"Nov 23 2019,(12) Michigan,39,Indiana,14"
"Nov 23 2019,Michigan State,27,Rutgers,0"
"Nov 23 2019,Middle Tennessee State,38,Old Dominion,17"
"Nov 23 2019,(11) Minnesota,38,Northwestern,22"
"Nov 23 2019,Mississippi State,45,Abilene Christian,7"
"Nov 23 2019,Navy,35,(21) Southern Methodist,28"
"Nov 23 2019,Nebraska,54,Maryland,7"
"Nov 23 2019,Nevada,35,Fresno State,28"
"Nov 23 2019,Nevada-Las Vegas,38,San Jose State,35"
"Nov 23 2019,New Mexico State,44,Texas-El Paso,35"
"Nov 23 2019,North Carolina,56,Mercer,7"
"Nov 23 2019,(15) Notre Dame,40,Boston College,7"
"Nov 23 2019,(2) Ohio State,28,(9) Penn State,17"
"Nov 23 2019,(8) Oklahoma,28,Texas Christian,24"
"Nov 23 2019,(22) Oklahoma State,20,West Virginia,13"
"Nov 23 2019,Rice,20,North Texas,14"
"Nov 23 2019,Southern California,52,UCLA,35"
"Nov 23 2019,Tennessee,24,Missouri,20"
"Nov 23 2019,(7) Utah,35,Arizona,7"
"Nov 23 2019,Vanderbilt,38,East Tennessee State,0"
"Nov 23 2019,Virginia,55,Liberty,27"
"Nov 23 2019,(25) Virginia Tech,28,Pittsburgh,0"
"Nov 23 2019,Wake Forest,39,Duke,27"
"Nov 23 2019,Washington State,54,Oregon State,53"
"Nov 23 2019,Western Kentucky,28,Southern Mississippi,10"
"Nov 23 2019,(14) Wisconsin,45,Purdue,24"
"Nov 26 2019,Northern Illinois,17,Western Michigan,14"
"Nov 26 2019,Ohio,52,Akron,3"
"Nov 28 2019,Mississippi State,21,Mississippi,20"
"Nov 29 2019,Ball State,41,Miami (OH),27"
"Nov 29 2019,(20) Boise State,31,Colorado State,24"
"Nov 29 2019,Buffalo,49,Bowling Green State,7"
"Nov 29 2019,Central Florida,34,South Florida,7"
"Nov 29 2019,Central Michigan,49,Toledo,7"
"Nov 29 2019,(19) Iowa,27,Nebraska,24"
"Nov 29 2019,Kent State,34,Eastern Michigan,26"
"Nov 29 2019,(17) Memphis,34,(18) Cincinnati,24"
"Nov 29 2019,Texas,49,Texas Tech,24"
"Nov 29 2019,Virginia,39,(23) Virginia Tech,30"
"Nov 29 2019,Washington,31,Washington State,13"
"Nov 29 2019,West Virginia,20,Texas Christian,17"
"Nov 30 2019,Air Force,20,Wyoming,6"
"Nov 30 2019,Alabama-Birmingham,26,North Texas,21"
"Nov 30 2019,(22) Appalachian State,48,Troy,13"
"Nov 30 2019,Arizona State,24,Arizona,14"
"Nov 30 2019,(16) Auburn,48,(5) Alabama,45"
"Nov 30 2019,(11) Baylor,61,Kansas,6"
"Nov 30 2019,Boston College,26,Pittsburgh,19"
"Nov 30 2019,California,28,UCLA,18"
"Nov 30 2019,Charlotte,38,Old Dominion,22"
"Nov 30 2019,(3) Clemson,38,South Carolina,3"
"Nov 30 2019,Coastal Carolina,24,Texas State,21"
"Nov 30 2019,Duke,27,Miami (FL),17"
"Nov 30 2019,(8) Florida,40,Florida State,17"
"Nov 30 2019,Florida Atlantic,34,Southern Mississippi,17"
"Nov 30 2019,(4) Georgia,52,Georgia Tech,7"
"Nov 30 2019,Georgia Southern,38,Georgia State,10"
"Nov 30 2019,Hawaii,52,Army,31"
"Nov 30 2019,Indiana,44,Purdue,41"
"Nov 30 2019,Kansas State,27,Iowa State,17"
"Nov 30 2019,Kentucky,45,Louisville,13"
"Nov 30 2019,Liberty,49,New Mexico State,28"
"Nov 30 2019,Louisiana,31,Louisiana-Monroe,30"
"Nov 30 2019,(1) Louisiana State,50,Texas A&M,7"
"Nov 30 2019,Louisiana Tech,41,Texas-San Antonio,27"
"Nov 30 2019,Marshall,30,Florida International,27"
"Nov 30 2019,Michigan State,19,Maryland,16"
"Nov 30 2019,Missouri,24,Arkansas,14"
"Nov 30 2019,(24) Navy,56,Houston,41"
"Nov 30 2019,Nevada-Las Vegas,33,Nevada,30"
"Nov 30 2019,North Carolina,41,North Carolina State,10"
"Nov 30 2019,Northwestern,29,Illinois,10"
"Nov 30 2019,(15) Notre Dame,45,Stanford,24"
"Nov 30 2019,(2) Ohio State,56,(10) Michigan,27"
"Nov 30 2019,(7) Oklahoma,34,(21) Oklahoma State,16"
"Nov 30 2019,(14) Oregon,24,Oregon State,10"
"Nov 30 2019,(12) Penn State,27,Rutgers,6"
"Nov 30 2019,Rice,30,Texas-El Paso,16"
"Nov 30 2019,San Diego State,13,Brigham Young,3"
"Nov 30 2019,San Jose State,17,Fresno State,16"
"Nov 30 2019,South Alabama,34,Arkansas State,30"
"Nov 30 2019,Southern Methodist,37,Tulane,20"
"Nov 30 2019,Syracuse,39,Wake Forest,30"
"Nov 30 2019,Temple,49,Connecticut,17"
"Nov 30 2019,Tennessee,28,Vanderbilt,10"
"Nov 30 2019,Tulsa,49,East Carolina,24"
"Nov 30 2019,(6) Utah,45,Colorado,15"
"Nov 30 2019,Utah State,38,New Mexico,25"
"Nov 30 2019,Western Kentucky,31,Middle Tennessee State,26"
"Nov 30 2019,(13) Wisconsin,38,(9) Minnesota,17"
"Dec 6 2019,(13) Oregon,37,(5) Utah,15"
"Dec 7 2019,(20) Appalachian State,45,Louisiana,38"
"Dec 7 2019,(19) Boise State,31,Hawaii,10"
"Dec 7 2019,(3) Clemson,62,(22) Virginia,17"
"Dec 7 2019,Florida Atlantic,49,Alabama-Birmingham,6"
"Dec 7 2019,(1) Louisiana State,37,(4) Georgia,10"
"Dec 7 2019,(16) Memphis,29,(21) Cincinnati,24"
"Dec 7 2019,Miami (OH),26,Central Michigan,21"
"Dec 7 2019,(2) Ohio State,34,(10) Wisconsin,21"
"Dec 7 2019,(6) Oklahoma,30,(8) Baylor,23"
"Dec 14 2019,(21) Navy,31,Army,7"
